Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
H,0.0161,0.968812,102
M,0.0161,0.968812,77
Q,0.0161,0.968812,78
R,0.0161,0.968812,43
H,0.0162,0.968641,76
M,0.0162,0.968641,32
Q,0.0162,0.968641,77
R,0.0162,0.968641,41
H,0.0163,0.968419,76
M,0.0163,0.968419,38
Q,0.0163,0.968419,62
R,0.0163,0.968419,40
H,0.0164,0.968232,73
M,0.0164,0.968232,45
Q,0.0164,0.968232,70
R,0.0164,0.968232,38
H,0.0165,0.968011,78
M,0.0165,0.968011,33
Q,0.0165,0.968011,67
R,0.0165,0.968011,38
H,0.0166,0.967852,88
M,0.0166,0.967852,37
Q,0.0166,0.967852,65
R,0.0166,0.967852,36
H,0.0167,0.967705,69
M,0.0167,0.967705,39
Q,0.0167,0.967705,62
R,0.0167,0.967705,38
H,0.0168,0.967468,74
M,0.0168,0.967468,36
Q,0.0168,0.967468,63
R,0.0168,0.967468,29
H,0.0169,0.967386,75
M,0.0169,0.967386,44
Q,0.0169,0.967386,68
R,0.0169,0.967386,39
H,0.0170,0.967201,69
M,0.0170,0.967201,33
Q,0.0170,0.967201,59
R,0.0170,0.967201,34
H,0.0171,0.966896,74
M,0.0171,0.966896,38
Q,0.0171,0.966896,67
R,0.0171,0.966896,33
H,0.0172,0.966753,76
M,0.0172,0.966753,37
Q,0.0172,0.966753,71
R,0.0172,0.966753,40
H,0.0173,0.966515,72
M,0.0173,0.966515,36
Q,0.0173,0.966515,60
R,0.0173,0.966515,33
H,0.0174,0.966414,68
M,0.0174,0.966414,38
Q,0.0174,0.966414,70
R,0.0174,0.966414,38
H,0.0175,0.966179,77
M,0.0175,0.966179,33
Q,0.0175,0.966179,61
R,0.0175,0.966179,31
H,0.0176,0.966039,76
M,0.0176,0.966039,34
Q,0.0176,0.966039,74
R,0.0176,0.966039,35
H,0.0177,0.965816,74
M,0.0177,0.965816,36
Q,0.0177,0.965816,68
R,0.0177,0.965816,53
H,0.0178,0.965640,80
M,0.0178,0.965640,37
Q,0.0178,0.965640,76
R,0.0178,0.965640,38
H,0.0179,0.965456,72
M,0.0179,0.965456,40
Q,0.0179,0.965456,79
R,0.0179,0.965456,44
H,0.0180,0.965340,77
M,0.0180,0.965340,33
Q,0.0180,0.965340,75
R,0.0180,0.965340,34
H,0.0181,0.965065,75
M,0.0181,0.965065,32
Q,0.0181,0.965065,65
R,0.0181,0.965065,35
H,0.0182,0.964872,68
M,0.0182,0.964872,35
Q,0.0182,0.964872,67
R,0.0182,0.964872,39
H,0.0183,0.964649,63
M,0.0183,0.964649,31
Q,0.0183,0.964649,75
R,0.0183,0.964649,43
H,0.0184,0.964533,83
M,0.0184,0.964533,46
Q,0.0184,0.964533,58
R,0.0184,0.964533,34
H,0.0185,0.964325,74
M,0.0185,0.964325,33
Q,0.0185,0.964325,63
R,0.0185,0.964325,39
H,0.0186,0.964108,91
M,0.0186,0.964108,34
Q,0.0186,0.964108,69
R,0.0186,0.964108,28
H,0.0187,0.964067,79
M,0.0187,0.964067,37
Q,0.0187,0.964067,60
R,0.0187,0.964067,38
H,0.0188,0.963703,70
M,0.0188,0.963703,36
Q,0.0188,0.963703,60
R,0.0188,0.963703,38
H,0.0189,0.963587,76
M,0.0189,0.963587,43
Q,0.0189,0.963587,67
R,0.0189,0.963587,42
H,0.0190,0.963364,73
M,0.0190,0.963364,34
Q,0.0190,0.963364,68
R,0.0190,0.963364,39
H,0.0191,0.963244,72
M,0.0191,0.963244,31
Q,0.0191,0.963244,62
R,0.0191,0.963244,42
H,0.0192,0.963001,70
M,0.0192,0.963001,35
Q,0.0192,0.963001,59
R,0.0192,0.963001,35
H,0.0193,0.962873,78
M,0.0193,0.962873,33
Q,0.0193,0.962873,70
R,0.0193,0.962873,36
H,0.0194,0.962706,69
M,0.0194,0.962706,38
Q,0.0194,0.962706,63
R,0.0194,0.962706,38
H,0.0195,0.962488,66
M,0.0195,0.962488,34
Q,0.0195,0.962488,66
R,0.0195,0.962488,34
H,0.0196,0.962267,76
M,0.0196,0.962267,36
Q,0.0196,0.962267,70
R,0.0196,0.962267,33
H,0.0197,0.962063,77
M,0.0197,0.962063,32
Q,0.0197,0.962063,64
R,0.0197,0.962063,43
H,0.0198,0.961943,72
M,0.0198,0.961943,33
Q,0.0198,0.961943,60
R,0.0198,0.961943,36
H,0.0199,0.961766,71
M,0.0199,0.961766,39
Q,0.0199,0.961766,67
R,0.0199,0.961766,30
H,0.0200,0.961555,68
M,0.0200,0.961555,36
Q,0.0200,0.961555,65
R,0.0200,0.961555,34
H,0.0201,0.961359,83
M,0.0201,0.961359,34
Q,0.0201,0.961359,75
R,0.0201,0.961359,39
H,0.0202,0.961253,70
M,0.0202,0.961253,45
Q,0.0202,0.961253,72
R,0.0202,0.961253,53
H,0.0203,0.960965,95
M,0.0203,0.960965,46
Q,0.0203,0.960965,90
R,0.0203,0.960965,50
H,0.0204,0.960751,92
M,0.0204,0.960751,49
Q,0.0204,0.960751,93
R,0.0204,0.960751,43
H,0.0205,0.960624,92
M,0.0205,0.960624,45
Q,0.0205,0.960624,87
R,0.0205,0.960624,42
H,0.0206,0.960513,94
M,0.0206,0.960513,46
Q,0.0206,0.960513,83
R,0.0206,0.960513,51
H,0.0207,0.960298,96
M,0.0207,0.960298,43
Q,0.0207,0.960298,92
R,0.0207,0.960298,47
H,0.0208,0.960050,93
M,0.0208,0.960050,39
Q,0.0208,0.960050,75
R,0.0208,0.960050,42
H,0.0209,0.959967,70
M,0.0209,0.959967,50
Q,0.0209,0.959967,73
R,0.0209,0.959967,37
H,0.0210,0.959732,79
M,0.0210,0.959732,38
Q,0.0210,0.959732,75
R,0.0210,0.959732,35
H,0.0211,0.959536,66
M,0.0211,0.959536,36
Q,0.0211,0.959536,76
R,0.0211,0.959536,32
H,0.0212,0.959354,88
M,0.0212,0.959354,33
Q,0.0212,0.959354,66
R,0.0212,0.959354,48
H,0.0213,0.959098,79
M,0.0213,0.959098,35
Q,0.0213,0.959098,68
R,0.0213,0.959098,40
H,0.0214,0.959014,85
M,0.0214,0.959014,38
Q,0.0214,0.959014,74
R,0.0214,0.959014,36
H,0.0215,0.958779,84
M,0.0215,0.958779,38
Q,0.0215,0.958779,59
R,0.0215,0.958779,35
H,0.0216,0.958549,80
M,0.0216,0.958549,40
Q,0.0216,0.958549,68
R,0.0216,0.958549,36
H,0.0217,0.958445,66
M,0.0217,0.958445,34
Q,0.0217,0.958445,61
R,0.0217,0.958445,31
H,0.0218,0.958228,68
M,0.0218,0.958228,39
Q,0.0218,0.958228,77
R,0.0218,0.958228,37
H,0.0219,0.958106,91
M,0.0219,0.958106,37
Q,0.0219,0.958106,62
R,0.0219,0.958106,32
H,0.0220,0.957858,67
M,0.0220,0.957858,28
Q,0.0220,0.957858,65
R,0.0220,0.957858,31
H,0.0221,0.957721,67
M,0.0221,0.957721,27
Q,0.0221,0.957721,55
R,0.0221,0.957721,36
H,0.0222,0.957516,73
M,0.0222,0.957516,35
Q,0.0222,0.957516,60
R,0.0222,0.957516,35
H,0.0223,0.957427,68
M,0.0223,0.957427,39
Q,0.0223,0.957427,50
R,0.0223,0.957427,26
H,0.0224,0.957091,66
M,0.0224,0.957091,35
Q,0.0224,0.957091,58
R,0.0224,0.957091,41
H,0.0225,0.956962,67
M,0.0225,0.956962,30
Q,0.0225,0.956962,65
R,0.0225,0.956962,31
H,0.0226,0.956717,66
M,0.0226,0.956717,33
Q,0.0226,0.956717,63
R,0.0226,0.956717,28
H,0.0227,0.956564,59
M,0.0227,0.956564,27
Q,0.0227,0.956564,56
R,0.0227,0.956564,39
H,0.0228,0.956406,65
M,0.0228,0.956406,31
Q,0.0228,0.956406,67
R,0.0228,0.956406,34
H,0.0229,0.956215,67
M,0.0229,0.956215,33
Q,0.0229,0.956215,63
R,0.0229,0.956215,31
H,0.0230,0.956067,59
M,0.0230,0.956067,27
Q,0.0230,0.956067,50
R,0.0230,0.956067,28
H,0.0231,0.955898,62
M,0.0231,0.955898,30
Q,0.0231,0.955898,55
R,0.0231,0.955898,36
H,0.0232,0.955678,70
M,0.0232,0.955678,32
Q,0.0232,0.955678,71
R,0.0232,0.955678,32
H,0.0233,0.955541,74
M,0.0233,0.955541,29
Q,0.0233,0.955541,55
R,0.0233,0.955541,36
H,0.0234,0.955322,71
M,0.0234,0.955322,42
Q,0.0234,0.955322,55
R,0.0234,0.955322,27
H,0.0235,0.955047,70
M,0.0235,0.955047,33
Q,0.0235,0.955047,57
R,0.0235,0.955047,28
H,0.0236,0.954926,72
M,0.0236,0.954926,29
Q,0.0236,0.954926,64
R,0.0236,0.954926,34
H,0.0237,0.954805,61
M,0.0237,0.954805,28
Q,0.0237,0.954805,66
R,0.0237,0.954805,44
H,0.0238,0.954600,58
M,0.0238,0.954600,32
Q,0.0238,0.954600,56
R,0.0238,0.954600,27
H,0.0239,0.954538,70
M,0.0239,0.954538,34
Q,0.0239,0.954538,66
R,0.0239,0.954538,34
H,0.0240,0.954250,63
M,0.0240,0.954250,31
Q,0.0240,0.954250,55
R,0.0240,0.954250,26
H,0.0241,0.953995,71
M,0.0241,0.953995,28
Q,0.0241,0.953995,60
R,0.0241,0.953995,29
H,0.0242,0.953829,62
M,0.0242,0.953829,34
Q,0.0242,0.953829,58
R,0.0242,0.953829,33
H,0.0243,0.953744,62
M,0.0243,0.953744,28
Q,0.0243,0.953744,74
R,0.0243,0.953744,35
H,0.0244,0.953452,61
M,0.0244,0.953452,37
